llm,topic,rarity,sentence,atomic_fact,human_label,method_a_pred,method_b_pred,method_c_pred,retrieved_evidence,method_a_confidence,method_b_confidence,method_c_confidence
InstructGPT,Doug Sheehan,very rare,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Doug Sheehan is an American.,1,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Doug Sheehan is an actor.,1,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Doug Sheehan is best known for his role as Ben Galvin.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in films.,1,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in The Big Easy.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in The Last Boy Scout.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in television shows.,1,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in NYPD Blue.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.","He has appeared in Beverly Hills, 90210.",0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He was born in Los Angeles, California on August 24, 1956.",He was born in Los Angeles.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"He was born in Los Angeles, California on August 24, 1956.","He was born on August 24, 1956.",0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Sheehan attended the University of California, Los Angeles, where he received a Bachelor of Arts degree in Theatre Arts.",Sheehan attended the University of California.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Sheehan attended the University of California, Los Angeles, where he received a Bachelor of Arts degree in Theatre Arts.",California is in Los Angeles.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Sheehan attended the University of California, Los Angeles, where he received a Bachelor of Arts degree in Theatre Arts.",He received a Bachelor of Arts degree.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,"Sheehan attended the University of California, Los Angeles, where he received a Bachelor of Arts degree in Theatre Arts.",His Bachelor of Arts degree is in Theatre Arts.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,He has been married since 1984 to Lisa Cooper and has two children.,He is married to Lisa Cooper.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,He has been married since 1984 to Lisa Cooper and has two children.,He has been married since 1984.,0,,,,,,,
InstructGPT,Doug Sheehan,very rare,He has been married since 1984 to Lisa Cooper and has two children.,He has two children.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,Taral Hicks is an American singer and actress.,Taral Hicks is an American.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,Taral Hicks is an American singer and actress.,Taral Hicks is a singer.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,Taral Hicks is an American singer and actress.,Taral Hicks is an actress.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"She was born in the Bronx, New York on September 21, 1974.",She was born in the Bronx.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She was born in the Bronx, New York on September 21, 1974.","She was born on September 21, 1974.",1,,,,,,,
InstructGPT,Taral Hicks,very rare,"She is best known for her single ""Sentimental,"" which was on the soundtrack of the 1997 film, Money Talks.",She is best known for her single.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She is best known for her single ""Sentimental,"" which was on the soundtrack of the 1997 film, Money Talks.","Her single is called ""Sentimental."".",0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She is best known for her single ""Sentimental,"" which was on the soundtrack of the 1997 film, Money Talks.","""Sentimental"" was on the soundtrack of a film.",0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She has released two albums, This Time (1997) and This Time Around (2000).",She has released two albums.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She has released two albums, This Time (1997) and This Time Around (2000).",She has released an album titled This Time.,1,,,,,,,
